Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%) - DC_ODA_LDCG"
Germany,DEU,2017,0.11
Germany,DEU,2018,0.12
Germany,DEU,2019,0.11
Greece,GRC,2000,0.03
Greece,GRC,2001,0.03
Greece,GRC,2002,0.04
Greece,GRC,2003,0.03
Greece,GRC,2004,0.03
Greece,GRC,2005,0.04
Greece,GRC,2006,0.04
Greece,GRC,2007,0.04
Greece,GRC,2008,0.05
Greece,GRC,2009,0.04
Greece,GRC,2010,0.04
Greece,GRC,2011,0.02
Greece,GRC,2012,0.02
Greece,GRC,2013,0.02
Greece,GRC,2014,0.02
Greece,GRC,2015,0.02
Greece,GRC,2016,0.02
Greece,GRC,2017,0.03
Greece,GRC,2018,0.03
Greece,GRC,2019,0.02
Hungary,HUN,2003,0
Hungary,HUN,2004,0.01
Hungary,HUN,2005,0.04
Hungary,HUN,2006,0.02
Hungary,HUN,2007,0.04
Hungary,HUN,2008,0.02
Hungary,HUN,2009,0.03
Hungary,HUN,2010,0.03
Hungary,HUN,2011,0.02
Hungary,HUN,2012,0.02
Hungary,HUN,2013,0.02
Hungary,HUN,2014,0.02
Hungary,HUN,2015,0.02
Hungary,HUN,2016,0.03
Hungary,HUN,2017,0.02
Hungary,HUN,2018,0.05
Hungary,HUN,2019,0.04
Iceland,ISL,2000,0.04
Iceland,ISL,2001,0.07
Iceland,ISL,2002,0.05
Iceland,ISL,2003,0.05
Iceland,ISL,2004,0.05
Iceland,ISL,2005,0.07
Iceland,ISL,2006,0.12
Iceland,ISL,2007,0.11
Iceland,ISL,2008,0.14
Iceland,ISL,2009,0.13
Iceland,ISL,2010,0.12
Iceland,ISL,2011,0.09
Iceland,ISL,2012,0.09
Iceland,ISL,2013,0.1
Iceland,ISL,2014,0.09
Iceland,ISL,2015,0.1
Iceland,ISL,2016,0.08
Iceland,ISL,2017,0.08
Iceland,ISL,2018,0.12
Iceland,ISL,2019,0.1
Ireland,IRL,2000,0.15
Ireland,IRL,2001,0.18
Ireland,IRL,2002,0.23
Ireland,IRL,2003,0.22
Ireland,IRL,2004,0.22
Ireland,IRL,2005,0.21
Ireland,IRL,2006,0.28
Ireland,IRL,2007,0.28
Ireland,IRL,2008,0.3
Ireland,IRL,2009,0.28
Ireland,IRL,2010,0.29
Ireland,IRL,2011,0.27
Ireland,IRL,2012,0.24
Ireland,IRL,2013,0.23
Ireland,IRL,2014,0.18
Ireland,IRL,2015,0.15
Ireland,IRL,2016,0.14
Ireland,IRL,2017,0.14
Ireland,IRL,2018,0.13
Ireland,IRL,2019,0.12
Italy,ITA,2000,0.05
Italy,ITA,2001,0.05
Italy,ITA,2002,0.1
Italy,ITA,2003,0.08
Italy,ITA,2004,0.05
Italy,ITA,2005,0.08
Italy,ITA,2006,0.04
Italy,ITA,2007,0.06
Italy,ITA,2008,0.07
Italy,ITA,2009,0.05
Italy,ITA,2010,0.06
Italy,ITA,2011,0.07
Italy,ITA,2012,0.04
Italy,ITA,2013,0.05
Italy,ITA,2014,0.04
Italy,ITA,2015,0.05
Italy,ITA,2016,0.05
Italy,ITA,2017,0.06
Italy,ITA,2018,0.06
Italy,ITA,2019,0.06
Japan,JPN,2000,0.06
Japan,JPN,2001,0.05
Japan,JPN,2002,0.05
Japan,JPN,2003,0.05
Japan,JPN,2004,0.04
Japan,JPN,2005,0.05
Japan,JPN,2006,0.07
Japan,JPN,2007,0.06
Japan,JPN,2008,0.05
Japan,JPN,2009,0.06
Japan,JPN,2010,0.08
Japan,JPN,2011,0.07
Japan,JPN,2012,0.08
Japan,JPN,2013,0.13
Japan,JPN,2014,0.08
Japan,JPN,2015,0.08
Japan,JPN,2016,0.08
Japan,JPN,2017,0.1
Japan,JPN,2018,0.1
Japan,JPN,2019,0.1
Luxembourg,LUX,2000,0.22
Luxembourg,LUX,2001,0.24
Luxembourg,LUX,2002,0.28
Luxembourg,LUX,2003,0.27
Luxembourg,LUX,2004,0.26
Luxembourg,LUX,2005,0.28
Luxembourg,LUX,2006,0.34
Luxembourg,LUX,2007,0.36
Luxembourg,LUX,2008,0.38
Luxembourg,LUX,2009,0.38
Luxembourg,LUX,2010,0.4
Luxembourg,LUX,2011,0.36
Luxembourg,LUX,2012,0.37
Luxembourg,LUX,2013,0.38
Luxembourg,LUX,2014,0.43
Luxembourg,LUX,2015,0.4
Luxembourg,LUX,2016,0.42
Luxembourg,LUX,2017,0.43
Luxembourg,LUX,2018,0.46
Luxembourg,LUX,2019,0.47
Netherlands,NLD,2000,0.22
Netherlands,NLD,2001,0.26
Netherlands,NLD,2002,0.3
Netherlands,NLD,2003,0.29
Netherlands,NLD,2004,0.3
Netherlands,NLD,2005,0.27
Netherlands,NLD,2006,0.2
Netherlands,NLD,2007,0.23
Netherlands,NLD,2008,0.24
Netherlands,NLD,2009,0.21
Netherlands,NLD,2010,0.24
Netherlands,NLD,2011,0.17
Netherlands,NLD,2012,0.15
Netherlands,NLD,2013,0.17
Netherlands,NLD,2014,0.13
Netherlands,NLD,2015,0.14
Netherlands,NLD,2016,0.15
Netherlands,NLD,2017,0.13
Netherlands,NLD,2018,0.15
Netherlands,NLD,2019,0.14
New Zealand,NZL,2000,0.06
New Zealand,NZL,2001,0.06
New Zealand,NZL,2002,0.05
New Zealand,NZL,2003,0.06
New Zealand,NZL,2004,0.07
New Zealand,NZL,2005,0.06
New Zealand,NZL,2006,0.07
New Zealand,NZL,2007,0.06
New Zealand,NZL,2008,0.08
New Zealand,NZL,2009,0.08
New Zealand,NZL,2010,0.06
New Zealand,NZL,2011,0.07
New Zealand,NZL,2012,0.08
New Zealand,NZL,2013,0.07
New Zealand,NZL,2014,0.07
New Zealand,NZL,2015,0.08
New Zealand,NZL,2016,0.06
New Zealand,NZL,2017,0.07
New Zealand,NZL,2018,0.07
New Zealand,NZL,2019,0.07
Norway,NOR,2000,0.27
Norway,NOR,2001,0.28
Norway,NOR,2002,0.35
Norway,NOR,2003,0.38
Norway,NOR,2004,0.37
Norway,NOR,2005,0.35
Norway,NOR,2006,0.35
Norway,NOR,2007,0.34
Norway,NOR,2008,0.33
Norway,NOR,2009,0.33
Norway,NOR,2010,0.34
Norway,NOR,2011,0.31
Norway,NOR,2012,0.27
Norway,NOR,2013,0.3
Norway,NOR,2014,0.28
Norway,NOR,2015,0.27
Norway,NOR,2016,0.27
Norway,NOR,2017,0.28
Norway,NOR,2018,0.27
Norway,NOR,2019,0.28
Poland,POL,2000,0.01
Poland,POL,2001,0.01
Poland,POL,2003,0
Poland,POL,2004,0.02
Poland,POL,2005,0.02
Poland,POL,2006,0.04
Poland,POL,2007,0.02
Poland,POL,2008,0.02
Poland,POL,2009,0.02
Poland,POL,2010,0.02
Poland,POL,2011,0.02
Poland,POL,2012,0.02
Poland,POL,2013,0.02
Poland,POL,2014,0.02
Poland,POL,2015,0.03
Poland,POL,2016,0.04
Poland,POL,2017,0.02
Poland,POL,2018,0.04
Poland,POL,2019,0.02
Portugal,PRT,2000,0.15
Portugal,PRT,2001,0.15
Portugal,PRT,2002,0.16
Portugal,PRT,2003,0.11
Portugal,PRT,2004,0.52
Portugal,PRT,2005,0.09
Portugal,PRT,2006,0.1
Portugal,PRT,2007,0.1
Portugal,PRT,2008,0.1
Portugal,PRT,2009,0.1
Portugal,PRT,2010,0.13
Portugal,PRT,2011,0.15
Portugal,PRT,2012,0.09
Portugal,PRT,2013,0.07
Portugal,PRT,2014,0.05
Portugal,PRT,2015,0.05
Portugal,PRT,2016,0.05
Portugal,PRT,2017,0.06
Portugal,PRT,2018,0.06
Portugal,PRT,2019,0.05
Slovakia,SVK,2002,0
Slovakia,SVK,2003,0.01
Slovakia,SVK,2004,0.02
Slovakia,SVK,2006,0.05
Slovakia,SVK,2007,0.04
Slovakia,SVK,2008,0.05
Slovakia,SVK,2009,0.02
Slovakia,SVK,2010,0.02
Slovakia,SVK,2011,0.02
Slovakia,SVK,2012,0.02
Slovakia,SVK,2013,0.02
Slovakia,SVK,2014,0.02
Slovakia,SVK,2015,0.02
Slovakia,SVK,2016,0.02
Slovakia,SVK,2017,0.02
Slovakia,SVK,2018,0.02
Slovakia,SVK,2019,0.02
Slovenia,SVN,2008,0.03
Slovenia,SVN,2009,0.03
Slovenia,SVN,2010,0.03
Slovenia,SVN,2011,0.02
Slovenia,SVN,2012,0.02
Slovenia,SVN,2013,0.02
Slovenia,SVN,2014,0.02
Slovenia,SVN,2015,0.02
Slovenia,SVN,2016,0.03
Slovenia,SVN,2017,0.03
Slovenia,SVN,2018,0.02
Slovenia,SVN,2019,0.02
South Korea,KOR,2000,0.01
South Korea,KOR,2001,0.01
South Korea,KOR,2002,0.01
South Korea,KOR,2003,0.02
South Korea,KOR,2004,0.02
South Korea,KOR,2005,0.03
South Korea,KOR,2006,0.01
South Korea,KOR,2007,0.02
South Korea,KOR,2008,0.03
South Korea,KOR,2009,0.03
South Korea,KOR,2010,0.04
South Korea,KOR,2011,0.04
South Korea,KOR,2012,0.05
South Korea,KOR,2013,0.05
South Korea,KOR,2014,0.05
South Korea,KOR,2015,0.05
South Korea,KOR,2016,0.05
South Korea,KOR,2017,0.05
South Korea,KOR,2018,0.06
South Korea,KOR,2019,0.06
Spain,ESP,2000,0.03
Spain,ESP,2001,0.04
Spain,ESP,2002,0.05
Spain,ESP,2003,0.05
Spain,ESP,2004,0.05
Spain,ESP,2005,0.07
Spain,ESP,2006,0.06
Spain,ESP,2007,0.08
Spain,ESP,2008,0.1
Spain,ESP,2009,0.12
Spain,ESP,2010,0.11
Spain,ESP,2011,0.07
Spain,ESP,2012,0.04
Spain,ESP,2013,0.03
Spain,ESP,2014,0.03
Spain,ESP,2015,0.03
Spain,ESP,2016,0.04
Spain,ESP,2017,0.04
Spain,ESP,2018,0.05
Spain,ESP,2019,0.04
Sweden,SWE,2000,0.24
Sweden,SWE,2001,0.23
Sweden,SWE,2002,0.27
Sweden,SWE,2003,0.28
Sweden,SWE,2004,0.24
Sweden,SWE,2005,0.31
Sweden,SWE,2006,0.29
Sweden,SWE,2007,0.3
Sweden,SWE,2008,0.32
Sweden,SWE,2009,0.35
Sweden,SWE,2010,0.3
Sweden,SWE,2011,0.35
Sweden,SWE,2012,0.29
Sweden,SWE,2013,0.31
Sweden,SWE,2014,0.29
Sweden,SWE,2015,0.29
Sweden,SWE,2016,0.27
Sweden,SWE,2017,0.31
Sweden,SWE,2018,0.34
Sweden,SWE,2019,0.32
Switzerland,CHE,2000,0.1
Switzerland,CHE,2001,0.1
Switzerland,CHE,2002,0.09
Switzerland,CHE,2003,0.12
Switzerland,CHE,2004,0.1
Switzerland,CHE,2005,0.1
Switzerland,CHE,2006,0.1
Switzerland,CHE,2007,0.11
Switzerland,CHE,2008,0.1
Switzerland,CHE,2009,0.13
Switzerland,CHE,2010,0.11
Switzerland,CHE,2011,0.12
Switzerland,CHE,2012,0.11
Switzerland,CHE,2013,0.12
Switzerland,CHE,2014,0.12
Switzerland,CHE,2015,0.13
Switzerland,CHE,2016,0.13
Switzerland,CHE,2017,0.14
Switzerland,CHE,2018,0.13
Switzerland,CHE,2019,0.13
United Kingdom,GBR,2000,0.11
United Kingdom,GBR,2001,0.12
United Kingdom,GBR,2002,0.08
United Kingdom,GBR,2003,0.13
United Kingdom,GBR,2004,0.14
United Kingdom,GBR,2005,0.12
United Kingdom,GBR,2006,0.16
United Kingdom,GBR,2007,0.15
United Kingdom,GBR,2008,0.16
United Kingdom,GBR,2009,0.18
United Kingdom,GBR,2010,0.2
United Kingdom,GBR,2011,0.21
United Kingdom,GBR,2012,0.19
United Kingdom,GBR,2013,0.24
United Kingdom,GBR,2014,0.24
United Kingdom,GBR,2015,0.23
United Kingdom,GBR,2016,0.22
United Kingdom,GBR,2017,0.23
United Kingdom,GBR,2018,0.23
United Kingdom,GBR,2019,0.21
United States,USA,2000,0.02
United States,USA,2001,0.02
United States,USA,2002,0.03
United States,USA,2003,0.04
United States,USA,2004,0.04
United States,USA,2005,0.05
United States,USA,2006,0.05
United States,USA,2007,0.04
United States,USA,2008,0.06
United States,USA,2009,0.07
United States,USA,2010,0.07
United States,USA,2011,0.08
United States,USA,2012,0.07
United States,USA,2013,0.06
United States,USA,2014,0.06
United States,USA,2015,0.06
United States,USA,2016,0.06
United States,USA,2017,0.06
United States,USA,2018,0.05
United States,USA,2019,0.05
